Country,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guyana2,Suspected cases,"212,863",201’693**,"196,622","205,903","142,843","132,941","117,483","100,348","101,346","103,836",72’821**,"89,809","93,879"
,Presumed and confirmed,"22,935",29’471^,31’601^,"31,479","12,354","9,984",11’108^‡,13’936^,17’038^,"18,826",17’230^,20’850*,"20,769"
,Confirmed,"22,935",29’471^,31’601^,"31,479","12,354","9,984",11’108^‡,13’936^,17’038^,"18,826",17’230^,20’850*,"20,769"
,Microscopy examined,"212,863","201,693","196,622","205,903","142,843","132,941","110,891","100,105","95,986","85,736","49,496","63,165","73,726"
,Microscopy positive,"22,935","29,471","31,601","31,479","12,354","9,984","10,906","13,734","15,607","13,840","8,932","11,785","15,106"
,RDT examined,,35,,,,,"6,592",243,"5,360","18,100","27,116","26,622","20,153"
,RDT positive,,35,55,,,,"1,724",242,"3,570","4,986","10,025","9,065","5,663"
,Imported cases,,,,,,,411,,,184,51,64,39
,Relapse cases,,,,,,,0,,,,,,
Haiti,Suspected cases,"270,427","184,934","167,772","171,409","261,403","330,603","459,959",330’738**,287’522**,"266,675","245,202","198,881","230,117"
,Presumed and confirmed,"84,153","34,350","27,866","26,543","17,696",17’583^‡,21’430^‡,19’135‡,8’828‡,"10,687",22996+,9’513^,"14,757"
,Confirmed,"84,153","34,350","27,866","26,543","17,696",17’583^‡,21’430^‡,19’135‡,8’828‡,"10,687",22996+,9’513^,"14,757"
,Microscopy examined,"270,427","184,934","167,726","165,823","134,766","69,659","61,428","62,539","59,803","35,144","7,855","18,130","23,157"
,Microscopy positive,"84,153","34,350","27,866","26,543","10,893","5,224","4,342","2,119","1,586",765,"1,446",674,831
,RDT examined,,,46,"5,586","126,637","260,944","398,531","301,812","253,001","231,531","226,374","180,751","206,960"
,RDT positive,,,,,"6,803","12,702","23,325","18,309","8,232","9,922","21,541","9,333","13,926"
Honduras2,Suspected cases,152’961**,152’451**,155’165**,144’436**,151’420**,152’730**,173’651**,148’160**,142’780**,142’870**,"10,350","165,853","159,584"
,Presumed and confirmed,"9,745",7’618^,6’439^,5’364^,3’380^,3’555^,4’097^,1’283‡,653‡,391^,913^,1’657^,3’580*
,Confirmed,"9,745",7’618^,6’439^,5’364^,3’380^,3’555^,4’097^,1’283‡,653‡,391^,913^,1’657^,3’580*
,Microscopy examined,"152,961","152,451","155,165","144,436","151,420","150,854","167,836","148,160","142,780","142,870",,"151,244","138,052"
,Microscopy positive,"9,745","7,618","6,439","5,364","3,380","3,555","4,097","1,283",653,391,913,"1,657","3,321"
,RDT examined,"1,500","4,000","4,000",237,"1,427","4,928","20,745","25,870","31,556","18,754","10,350","14,609","21,532"
,RDT positive,,49,10,64,102,79,657,263,454,193,539,968,259
,Imported cases,,,,,2,0,3,10,21,61,98,105,36
,Relapse cases,,,,,,0,0,0,3,0,0,19,4
Mexico2,Suspected cases,"1,192,081","1,035,424","1,025,659","1,017,508","900,578",867’853**,798’568**,644’174**,"548,247",531’471**,"242,200","298,496","376,185"
,Presumed and confirmed,"1,233","1,130",842,499,666,551‡,596‡,765^,803^,641‡,369,275,244
,Confirmed,"1,233","1,130",842,499,666,551‡,596‡,765^,803^,641‡,369,275,244
,Microscopy examined,"1,192,081","1,035,424","1,025,659","1,017,508","900,578","867,853","798,568","644,174","548,247","531,471","242,200","298,496","372,714"
,Microscopy positive,"1,233","1,130",842,499,666,551,596,765,836,641,369,275,215
,RDT examined,,,,,,7,6,6,,161,,,"3,471"
,RDT positive,,,,,,7,6,6,,3,,,29
,Imported cases,7,6,9,4,10,34,45,29,23,22,10,31,77
,Relapse cases,0,0,0,0,0,0,0,5,10,1,2,2,3
Nicaragua2,Suspected cases,"554,414","536,105","552,722","539,022","605,357","604,418","554,415","663,132",831’077**,"1,029,288","947,451","1,158,806","1,616,617"
,Presumed and confirmed,692,925,"1,235","1,196","1,163","2,308","6,284","10,952",15’934^,"13,226","31,763","23,323",16158+
,Confirmed,692,925,"1,235","1,196","1,163","2,308","6,284","10,952",15’934^,"13,226","25,530","23,323",16158+
,Microscopy examined,"535,914","521,904","536,278","519,993","605,357","604,418","553,615","660,452","831,077","1,001,225","884,821","1,158,806",
,Microscopy positive,692,925,"1,235","1,196","1,163","2,308","6,284","10,952","15,934","12,337","18,799","16,684","10,361"
,RDT examined,"18,500","14,201","16,444","19,029",,,800,"2,680","44,905","28,063","56,397",,
,RDT positive,,,,,,,,,"2,885",889,"6,731","6,639","5,747"
,Imported cases,,,,34,21,29,12,3,17,26,25,64,50
Panama2,Suspected cases,"141,038","116,588","107,711","93,624","80,701","64,511","50,772",38’270**,23’383**,"22,171","14,809",18’779**,44’785**
,Presumed and confirmed,418,354,844,705,874,562^‡,811^‡,689^,715^,1’597++,2’206*++,4’364‡,7’173^
,Confirmed,418,354,844,705,874,562^‡,811^‡,689^,715^,1’597++,2’206*++,4’364‡,7’173^
,Microscopy examined,"141,038","116,588","107,711","93,624","80,701","64,511","50,772","38,270","23,383","18,217","7,027","6,105","25,732"
,Microscopy positive,418,354,844,705,874,562,811,689,715,"1,209","1,358",649,628
,RDT examined,,,,,,,,829,"1,141","3,954","7,782","17,239","29,319"
,RDT positive,,,,,,3,5,689,424,388,"2,109","4,253","6,800"
,Imported cases,,,,9,10,16,42,40,31,15,10,7,31
,Relapse cases,,,,0,0,0,0,0,0,130,135,192,467
"Paraguay1,2,3",Suspected cases,"62,178","48,611","31,499","24,806","24,832",6’687**,3’192**,8’014**,,"11,415","11,221",11’073**,11’183**
,Presumed and confirmed,29,10,15,11,8,8^,10^,5^,0,2,1,4^,3^
,Confirmed,29,10,15,11,8,8^,10^,5^,0,2,1,4^,3^
,Microscopy examined,"62,178","48,611","31,499","24,806","24,832","6,687","3,192","8,014",,"11,336","11,196","11,073","11,183"
,Microscopy positive,29,10,15,11,8,8,10,5,0,1,1,4,3
,RDT examined,,,,,,10,1,"1,267",,79,25,153,49
,RDT positive,,,,,,1,1,2,,1,0,3,3
,Imported cases,9,9,15,11,8,8,10,5,0,2,1,4,3
Peru2,Suspected cases,744’627**,702’894**,758’723**,863’790**,864’413**,865’980**,"566,230",388’699**,304’785**,"243,240",,"412,933","279,778"
,Presumed and confirmed,31’545‡,25’005‡,"31,436","48,719","65,252",66’609‡,"56,671",55’367‡,45’619‡,"24,483","15,847","18,140","27,785"
,Confirmed,31’545‡,25’005‡,"31,436","48,719","65,252",66’609‡,"56,671",55’367‡,45’619‡,"24,483","15,847","18,140","27,785"
,Microscopy examined,"744,627","702,894","758,723","863,790","864,413","865,980","566,230","388,699","304,785","243,240",,"412,933","278,546"
,Microscopy positive,"31,545","25,005","31,436","48,719","65,252","66,609","56,671","55,367","45,619","24,483","15,847","18,140","26,553"
,RDT examined,23,58,562,858,"1,634","18,133",,"13,924","160,000",,,,"1,232"
,RDT positive,1,34,,,,463,,"2,325","1,000",,,,"1,232"
,Imported cases,,,,,,,48,57,176,159,25,65,0
"Suriname2,3",Suspected cases,"17,902","16,160","22,134","19,736","33,097","15,236","23,444","22,302","19,836","20,743",14’057**,16’597**,11’466**
,Presumed and confirmed,1’771+‡,795+‡,569+‡,729,401,376,332,551^‡,235,215,244^,77^,61^
,Confirmed,1’771+‡,795+‡,569+‡,729,401,376,332,551^‡,235,215,244^,77^,61^
,Microscopy examined,"16,533","15,135","17,464","13,693","17,608","15,083","14,946","12,536","11,799","13,702","13,798","16,592","11,445"
,Microscopy positive,"1,574",751,306,530,98,345,321,412,218,209,238,77,51
,RDT examined,"1,369","1,025","4,670","6,043","15,489",153,"8,498","9,766","8,037","7,041","14,043","16,513","11,433"
,RDT positive,190,20,248,199,303,31,11,160,17,6,6,76,10
,Imported cases,,,,204,,295,251,414,198,111,88,53,60
,Relapse cases,,,,,,0,3,0,7,0,3,0,0
Venezuela (Bolivarian Republic of)2,Suspected cases,"400,495","382,303","410,663","476,764","522,617","625,174","852,556","1,144,635","699,130","1,104,736","725,591","600,242","553,872"
,Presumed and confirmed,"45,155","45,824","52,803","80,320","91,918","137,996","301,466","525,897",522059+,492753+,232’757*,"194,057",151’458*
,Confirmed,"45,155","45,824","52,803","80,320","91,918","137,996","301,466","525,897",522059+,492753+,232’757*,"194,057",151’458*
,Microscopy examined,"400,495","382,303","410,663","476,764","522,617","625,174","852,556","1,144,635","699,130","1,040,683","655,707","342,616","283,790"
,Microscopy positive,"45,155","45,824","52,803","80,320","91,918","137,996","301,466","525,897","404,924","398,285","197,466","113,863","81,002"
,RDT examined,,,,,,,,,,"64,053","69,884","257,626","270,082"
,RDT positive,,,,,,,,,"48,117","64,053","69,884","80,194","70,456"
,Imported cases,,,,"1,677","1,210","1,594","1,948","2,941","2,125","1,848","1,356",829,"1,544"
,Relapse cases,,,,,,,"58,390","111,360","106,886","87,029","31,308","12,806","14,274"
Afghanistan,Suspected cases,"865,181","936,252","847,933","817,606","881,515","939,964","1,055,368","1,143,511","1,240,523","1,008,487","943,267","917,108","954,750"
,Presumed and confirmed,"392,864","482,748","391,365","326,593","317,608","383,008","436,017","413,536","299,863","174,894","105,445","86,370","125,788"
,Confirmed,"69,798","77,549","54,840","52,965","106,478","119,859","241,233","313,086","248,689","173,860","105,295","86,263","125,620"
,Microscopy examined,"524,523","531,053","511,408","507,145","514,466","538,789","598,556","611,904","665,200","561,160","449,875","483,806","596,883"
,Microscopy positive,"69,397","77,549","54,840","46,114","83,920","103,377","151,528","194,866","104,960","71,389","38,923","35,149","59,891"
,RDT examined,"17,592",,,"36,833","155,919","138,026","262,028","431,157","524,149","446,293","389,994","433,195","357,699"
,RDT positive,401,,,"6,851","22,558","16,482","89,705","118,220","143,729","102,471","66,372","51,114","65,729"
Djibouti,Suspected cases,,354,"1,412","7,189","39,284","10,586","19,492","75,594","104,800","214,101",268’147**,"218,591","213,680"
,Presumed and confirmed,"1,010",230,27,"1,684","9,439","9,557","13,822","14,810","25,319",49’402*,"73,535","58,916","40,648"
,Confirmed,"1,010",,25,"1,684","9,439","9,473","13,822","14,810","25,319",49’402*,"73,535","58,916","40,648"
,Microscopy examined,,124,"1,410","7,189","39,284","10,502","19,492","24,504",,,"42,250","50,157","49,837"
,Microscopy positive,"1,010",,22,"1,684","9,439","1,764","2,280","1,283",,,"11,633","13,210","10,084"
,RDT examined,,,,,,,,"51,090","104,800","214,101","268,147","168,434","163,843"
,RDT positive,,,3,,,"7,709","11,542","13,527","25,319","49,402","73,535","45,706","30,564"
Iran (Islamic Republic of)2,Suspected cases,"614,817","530,470","479,655","385,172","468,513","610,337","418,125","383,397",477’914**,455’855**,"388,232",275’419**,604’963**
,Presumed and confirmed,"3,031","3,239","1,629","1,374","1,243",799,705,939,625‡,"1,190",1’051^,999,"5,677"
,Confirmed,"3,031","3,239","1,629","1,374","1,243",799,705,939,625‡,"1,190",1’051^,999,"5,677"
,Microscopy examined,"614,817","530,470","479,655","385,172","468,513","610,337","418,125","383,397","477,914","454,322","334,861","275,419","568,492"
,Microscopy positive,"3,031","3,239","1,629","1,374","1,243",799,705,939,625,"1,190","1,046",994,"5,665"
,RDT examined,,,,,,,,,"64,061","101,803","53,371","25,025","39,223"
,RDT positive,,,,,,,,,436,"1,089",516,5,"2,229"
,Imported cases,"1,184","1,529",842,853,867,632,611,868,602,"1,107",878,821,"4,238"
,Relapse cases,,,19,14,11,2,3,0,3,0,2,0,0
Pakistan,Suspected cases,"8,601,835","8,418,570","8,902,947","7,682,166","8,375,256","8,943,120","8,216,519","8,200,987","7,226,725","8,157,351","7,172,956","7,789,443","13,051,047"
,Presumed and confirmed,"4,281,356","4,065,802","4,285,449","3,465,620","3,655,975","3,778,090","2,126,497","2,209,708","1,069,052","413,533","372,416","400,316","1,824,844"
,Confirmed,"240,591","334,589","290,781","274,648","264,867","203,859","329,005","369,817","374,510","413,533","371,828","399,097","1,824,396"
,Microscopy examined,"4,281,346","4,168,648","4,497,330","3,786,216","4,179,468","4,620,326","5,091,840","4,539,957","4,324,570","4,855,044","3,607,265","4,231,801","6,742,977"
,Microscopy positive,"220,870","287,592","250,526","183,091","183,180","138,130","157,554","132,580","119,099","125,804","83,859","86,319","474,654"
,RDT examined,"279,724","518,709","410,949","704,978","804,680","748,563","1,327,187","1,821,139","2,207,613","3,302,307","3,564,489","3,556,423","6,307,622"
,RDT positive,"19,721","46,997","40,255","91,557","81,687","65,729","171,451","237,237","255,411","287,729","287,969","312,778","1,349,742"
"Saudi Arabia2,3",Suspected cases,"944,723","1,062,827","1,186,179","1,309,783","1,249,752","1,306,700","1,267,933","1,073,998","1,015,953",1’118’706**,703’048**,"642,818","764,822"
,Presumed and confirmed,"1,941","2,788","3,406","2,513","2,305","2,620","5,382","3,151","2,711",2’152‡,"3,658",2’616^,"4,319"
,Confirmed,"1,941","2,788","3,406","2,513","2,305","2,620","5,382","3,151","2,711",2’152‡,"3,658",2’616^,"4,319"
,Microscopy examined,"944,723","1,062,827","1,186,179","1,309,783","1,249,752","1,306,700","1,267,933","1,073,998","1,015,953","1,118,706","403,972","429,910","206,975"
,Microscopy positive,"1,941","2,788","3,406","2,513","2,305","2,620","5,382","3,151","2,711","2,152","3,658","1,091","2,608"
,RDT examined,,,,,,,,,,"1,118,706","399,076","212,908","557,847"
,RDT positive,,,,,,,,,,"2,152","3,205","1,525","1,711"
,Imported cases,"1,912","2,719","3,324","2,479","2,254","2,537","5,110","2,974","2,517","2,029","3,453","2,470","4,045"
Somalia,Suspected cases,"223,981","99,403","53,658","88,734","92,103","119,008","205,753","228,912","253,220",332’935**,"337,965","376,167","348,740"
,Presumed and confirmed,"24,833","41,167","23,202",9’135^,"26,419","39,169","58,021","37,156","31,030",65’375‡,27’333*,"50,648",23’450*
,Confirmed,"24,833","3,351","6,817",7’407^,"11,246","20,953","35,628","35,138","31,021",39’687‡,27’333*,"12,967",11’550*
,Microscopy examined,"20,593","26,351",,"19,542","12,450",,,,,"59,494",,"32,175","25,182"
,Microscopy positive,"5,629","1,627",,841,245,,,,,"11,615",,"4,463","4,174"
,RDT examined,"203,388","35,236","37,273","67,464","64,480","100,792","183,360","226,894","253,211","332,935","337,965","298,929","311,658"
,RDT positive,"19,204","1,724","6,817","7,407","11,001","20,953","35,628","35,138","31,021","39,687","27,333","8,504","7,376"
Sudan,Suspected cases,"2,398,239","2,929,578","2,438,467","2,197,563",,"4,101,841","4,199,740","3,691,112","9,760,505","7,642,050","8,211,933","8,145,586","7,957,950"
,Presumed and confirmed,"1,465,496","1,214,004","964,698","989,946","1,207,771","1,102,186","897,194","1,642,058","3,627,586","3,568,941","3,412,499","3,960,655",3’768’163*
,Confirmed,"720,557","506,806","526,931","592,383","1,068,506","586,827","566,015","800,116","1,648,683","1,752,011","1,698,394","1,647,745",1’355’789*
,Microscopy examined,,,,,,"3,586,482","3,236,118","2,426,329","6,668,355","4,797,856","5,568,277","4,742,722","4,665,151"
,Microscopy positive,"625,365","506,806","526,931","592,383","579,038","586,827","378,308","588,100","1,262,210","1,408,242","1,262,841","1,309,893","1,137,726"
,RDT examined,"1,653,300","2,222,380","2,000,700","1,800,000","788,281",,"632,443","422,841","1,113,247","1,027,264","929,551","1,056,085","823,287"
,RDT positive,"95,192",,,,"489,468",,"187,707","212,016","386,473","343,769","435,553","337,852","218,063"
Yemen,Suspected cases,"835,018","804,401","888,952","927,821","821,618","711,680","1,217,602","1,659,798","779,312","1,283,681",1’280’190**,"1,573,986","1,592,228"
,Presumed and confirmed,"198,963","142,152","165,687","149,451","122,812","104,831","145,627","143,333","233,143","216,763","202,671","244,857","201,792"
,Confirmed,"106,697","90,954","112,359","102,778","86,707","76,259","99,700","143,333","157,900","165,899","164,066","180,339","155,127"
,Microscopy examined,"645,463","645,093","685,406","723,691","643,994","561,644","960,860","1,070,020","419,415","841,358","791,049","772,511","695,371"
,Microscopy positive,"78,269","60,751","71,300","63,484","51,768","42,052","45,886","28,936","64,233","104,350","97,008","83,436","62,281"
,RDT examined,"97,289","108,110","150,218","157,457","141,519","121,464","210,815","589,778","284,654","391,459","450,541","736,957","850,192"
,RDT positive,"28,428","30,203","41,059","39,294","34,939","34,207","53,814","114,397","93,667","61,549","67,058","96,903","92,846"
"Armenia1,2",Suspected cases,"31,026",,,,,"1,213",465,350,320,,121,,
,Presumed and confirmed,1,0,4,0,1,2,2,2,6,0,3,,2
,Confirmed,1,,4,0,1,2,2,2,6,,3,,
,Microscopy examined,"31,026",,,,,"1,213",465,350,320,,121,,
,Microscopy positive,1,,4,,1,2,2,2,6,,3,,
,Imported cases,1,,4,0,1,2,2,2,6,,3,,2
"Azerbaijan1,2",Suspected cases,"456,652","449,168","497,040","432,810","399,925","405,416","465,860","373,562","358,009",,,,
,Presumed and confirmed,52,8,4,4,2,1,1,1,2,0,0,0,1
,Confirmed,52,8,4,4,2,1,1,1,2,0,0,,
,Microscopy examined,"456,652","449,168","497,040","432,810","399,925","405,416","465,860","373,562","358,009",,,,
,Microscopy positive,52,8,4,4,2,1,1,1,2,0,,,
,Imported cases,2,4,1,4,2,1,1,1,2,0,0,0,1
Georgia2,Suspected cases,"2,368","2,032","1,046",192,440,294,318,416,286,335,237,,
,Presumed and confirmed,0,6,5,7,5,6,7,9,9,8,4,0,
,Confirmed,0,6,5,7,5,6,7,9,9,8,4,,
,Microscopy examined,"2,368","2,032","1,046",192,440,294,318,416,286,335,237,,
,Microscopy positive,0,6,5,7,5,6,7,9,9,8,4,,
,Imported cases,0,5,4,7,5,5,7,8,9,8,4,,
"Kyrgyzstan1,2",Suspected cases,"30,190","27,850","18,268","54,249","35,600","75,688","62,537","8,459","7,709","46,384","18,717",,
,Presumed and confirmed,6,5,3,4,0,1,6,2,0,1,0,0,
,Confirmed,6,5,3,4,0,1,6,2,0,1,0,,
,Microscopy examined,"30,190","27,850","18,268","54,249","35,600","75,688","62,537","8,459","7,709","46,384","18,717",,
,Microscopy positive,6,5,3,4,0,1,6,2,0,1,0,,
,RDT examined,,,,,,0,0,0,,,,,
,RDT positive,,,,,,0,0,0,,,,,
,Imported cases,3,5,3,4,0,1,6,2,0,1,0,,
"Tajikistan1,2",Suspected cases,"173,523","173,367","209,239","213,916","200,241",188’341**,198’766**,191’284**,,"209,830","159,124",,
,Presumed and confirmed,116,100,54,25,7,4^,1^,3^,0,3,0,0,1
,Confirmed,116,100,54,25,7,4^,1^,3^,,3,0,,
,Microscopy examined,"173,523","173,367","209,239","213,916","200,241","188,341","198,766","191,284",,"207,821","159,124",,
,Microscopy positive,116,100,54,25,7,4,1,3,,3,0,,
,RDT examined,,,,,,"42,056","34,570","41,218",,"2,009",,,
,RDT positive,,,,,,4,1,3,,,,,
,Imported cases,4,22,11,10,5,4,1,3,,3,0,0,1
Turkey2,Suspected cases,"507,841","421,295","337,830","255,125","189,854","211,740","144,499","115,557","95,877","59,429","54,586",,
,Presumed and confirmed,90,132,595,285,254,224,209,214,238,279,135,,
,Confirmed,90,132,595,285,254,224,209,214,238,279,135,,
,Microscopy examined,"507,841","421,295","337,830","255,125","189,854","211,740","144,499","115,557","95,877","59,429","54,586",,
,Microscopy positive,90,132,595,285,254,224,209,214,238,279,135,,
,Imported cases,81,128,376,251,249,221,208,214,237,277,133,,
"Turkmenistan1,2",Suspected cases,"81,784",,,,,"83,675","85,536","84,264","85,722","78,903","71,887",,
,Presumed and confirmed,0,0,0,0,0,0,0,0,0,3,0,0,
,Confirmed,0,0,0,0,0,0,0,0,0,3,0,,
,Microscopy examined,"81,784",,,,,"83,675","85,536","84,264","85,722","78,903","71,887",,
,Microscopy positive,,,,,,,,,0,3,0,,
,Imported cases,0,0,0,0,0,0,0,0,0,3,0,,
"Uzbekistan1,2",Suspected cases,"921,364","886,243","805,761","908,301","812,347","800,912","797,472","655,112","650,616","669,373","552,458",,
,Presumed and confirmed,6,1,1,3,1,0,0,0,0,1,2,0,
,Confirmed,6,1,1,3,1,0,0,0,0,1,2,,
,Microscopy examined,"921,364","886,243","805,761","908,301","812,347","800,912","797,472","655,112","650,616","669,373","552,458",,
,Microscopy positive,6,1,1,3,1,0,0,0,0,1,2,,
,Imported cases,2,1,1,3,1,0,0,0,0,1,2,,
Bangladesh2,Suspected cases,"467,767","390,930","372,806","418,755","630,181","786,830","993,589","986,442","1,300,691","1,507,230","1,416,473","1,470,849","1,632,840"
,Presumed and confirmed,"62,378","52,601","29,518","26,891","57,480","39,719","27,737","29,247","10,523","17,225","6,130","7,294","18,246"
,Confirmed,"55,873","51,773","29,518","26,891","57,480","39,719","27,737","29,247","10,523","17,225","6,130","7,294","18,246"
,Microscopy examined,"308,326","270,253","253,887","290,496","418,519","527,659","573,540","613,304","800,251","750,657","611,307","370,589","460,668"
,Microscopy positive,"20,519","20,232","9,901","7,303","13,628","6,621","3,217","3,325","1,135","1,311",262,458,906
,RDT examined,"152,936","119,849","118,919","128,259","211,662","259,171","420,049","373,138","500,440","756,573","805,166","1,100,260","1,172,172"
,RDT positive,"35,354","31,541","19,617","19,588","43,852","33,098","24,520","25,922","9,388","15,914","5,868","6,836","17,340"
,Imported cases,,,,,,129,109,19,41,6,2,6,13
"Bhutan2,3",Suspected cases,"54,760","44,494","42,512","31,632","33,586","74,087","118,841","120,667","133,498","119,975","31,522","25,510","42,205"
,Presumed and confirmed,487,207,82,45,48,104,74,51^,54,42^,54,23,6
,Confirmed,436,194,82,45,48,104,74,51^,54,42^,54,23,6
,Microscopy examined,"54,709","44,481","42,512","31,632","33,586","26,149","23,442","22,885","19,778","18,973","6,246","8,742","12,146"
,Microscopy positive,436,194,82,45,48,84,59,51,49,38,46,23,6
,RDT examined,,,,,,"47,938","95,399","97,782","113,720","101,002","25,276","16,768","30,059"
,RDT positive,,,,,,20,15,11,5,37,8,0,0
,Imported cases,,,0,23,34,70,56,38,34,30,9,13,3
,Relapse cases,,,0,,0,0,0,0,0,0,0,1,0
Democratic People's Republic of Korea,Suspected cases,"27,019","27,857","40,925","72,719","38,878","91,007","205,807","189,357","685,704","461,998","357,778","45,711","378,989"
,Presumed and confirmed,"15,392","18,104","23,537","15,673","11,212","7,409","5,113","4,626","3,698","1,869","1,819","2,357","2,136"
,Confirmed,"13,520","16,760","21,850","14,407","10,535","7,022","5,033","4,603","3,698","1,869","1,819","2,357","2,136"
,Microscopy examined,"25,147","26,513","39,238","71,453","38,201","29,272","22,747","16,835","28,654","3,255","3,681","45,711","11,673"
,Microscopy positive,"13,520","16,760","21,850","14,407","10,535","7,010","4,890","4,463","3,446",886,"1,162","2,357","2,056"
,RDT examined,,,,,,"61,348","182,980","172,499","657,050","458,743","354,097",0,"367,316"
,RDT positive,,,,,,12,143,140,252,983,657,0,80
,Imported cases,,,,,,,,,,,,,0
India,Suspected cases,"119,279,429","119,470,044","122,170,278","127,891,198","138,628,331","140,841,230","144,539,608","125,977,799","124,613,482","134,230,349","97,177,024","114,400,959","152,523,919"
,Presumed and confirmed,"1,599,986","1,310,656","1,067,824","881,730","1,102,205","1,169,261","1,087,285","844,558","429,928","338,494","186,532","161,753","176,522"
,Confirmed,"1,599,986","1,310,656","1,067,824","881,730","1,102,205","1,169,261","1,087,285","844,558","429,928","338,494","186,532","161,753","176,522"
,Microscopy examined,"108,679,429","108,969,660","109,044,798","113,109,094","124,066,331","121,141,970","124,933,348","110,769,742","111,123,775","113,969,785","73,294,318","87,951,904","117,785,803"
,Microscopy positive,"1,599,986","1,310,656","1,067,824","881,730","1,102,205","1,169,261","1,087,285","306,768","230,432","132,750","65,468","67,604","75,222"
,RDT examined,"10,600,000","10,500,384","13,125,480","14,782,104","14,562,000","19,699,260","19,606,260","15,208,057","13,489,707","20,260,564","23,882,706","26,440,073","34,264,089"
,RDT positive,,,,,,,,"537,790","199,496","205,744","121,064","94,149","101,300"
"Indonesia2,6",Suspected cases,"1,591,179","1,212,799","1,900,725","1,708,161","1,550,296","1,567,450","1,457,858","1,441,679","1,700,094","2,491,516","1,940,676","2,128,771","3,395,811"
,Presumed and confirmed,"465,764","422,447","417,819","343,527","252,027","217,025","218,450","261,617","222,345","250,646","254,055","304,607","443,530"
,Confirmed,"465,764","422,447","417,819","343,527","252,027","217,025","218,450","261,617","222,345","250,646","254,055","304,607","443,530"
,Microscopy examined,"1,335,445","962,090","1,429,139","1,447,980","1,300,835","1,224,504","1,092,093","1,045,994","1,322,026","1,899,437","1,367,987","1,399,683","1,743,771"
,Microscopy positive,"465,764","422,447","417,819","343,527","252,027","217,025","218,450","261,617","190,782","212,997","192,769","216,744","293,356"
,RDT examined,"255,734","250,709","471,586","260,181","249,461","342,946","365,765","395,685","378,068","592,079","516,167","640,609","1,612,968"
,RDT positive,,,,,,,,,"31,563","37,649","61,286","87,863","150,174"
,Imported cases,,,,,,,,,11,61,38,27,67
Myanmar2,Suspected cases,"1,277,568","1,210,465","1,424,004","1,300,556","1,567,095","2,657,555","3,185,245","3,368,697","3,183,758",3’708’802**,3’665’239**,1’958’385**,2’660’341**
,Presumed and confirmed,"693,124","567,452","481,242","333,871","205,658",182’465^,"110,146","85,019","76,518",56’414^,"58,836",79’001^,157’538^
,Confirmed,"420,808","465,294","481,204","333,871","205,658",182’465^,"110,146","85,019","76,518",56’414^,"58,836",79’001^,157’538^
,Microscopy examined,"275,374","312,689","265,135","138,473","151,258","98,014","122,078","107,242","58,126","50,902","57,950","43,929","128,630"
,Microscopy positive,"103,285","91,752","75,220","26,509","12,010","6,453","6,717","4,648","2,577","1,054","2,167","2,669","5,399"
,RDT examined,"729,878","795,618","1,158,831","1,162,083","1,415,837","2,559,541","3,063,167","3,261,455","3,125,632","3,666,973","3,627,732","1,919,075","2,546,083"
,RDT positive,"317,523","373,542","405,984","307,362","193,648","176,163","103,429","80,371","73,941","55,590","57,009","76,377","153,071"
,Imported cases,,,,,,,,,,,9,1,5
,Relapse cases,,,,,,,,,,,140,12,65
Nepal2,Suspected cases,"213,353","188,702","276,752","168,687","200,631","131,654","146,705",165’640**,"256,020","224,726","158,776",159’912**,"371,296"
,Presumed and confirmed,"96,383","71,752","71,410","37,336","26,556",19’171^,"10,687",3’610^,"3,031",710,430,373^,512
,Confirmed,"3,894","3,414","3,230","1,974","1,499",1’112^,"1,009",1’293^,"1,293",710,430,373^,512
,Microscopy examined,"102,977","95,011","152,780","100,336","127,130","63,946","84,595","163,323","160,904","92,367","31,304","24,221","82,917"
,Microscopy positive,"3,115","1,910","1,659","1,197","1,499","1,112","1,009","1,293","1,158",102,29,18,404
,RDT examined,"17,887","25,353","55,792","32,989","48,444","49,649","52,432","97,870","93,378","131,631","127,228","159,635","287,974"
,RDT positive,779,"1,504","1,571",777,,725,,449,135,608,401,373,108
,Imported cases,,"1,079","1,026",,667,521,502,670,539,579,357,359,476
"Sri Lanka1,2",Suspected cases,"1,001,107","985,060","957,155","1,249,846","1,078,884","1,157,366","1,090,743","1,104,333","1,149,897",1’164’914**,"820,210","680,386","808,827"
,Presumed and confirmed,736,175,93,95,49,36,41,57,52,54^,30,26,37
,Confirmed,736,175,93,95,49,36,41,57,52,54^,30,26,37
,Microscopy examined,"1,001,107","985,060","948,250","1,236,580","1,069,817","1,142,466","1,072,396","1,089,290","1,129,070","1,164,914","810,205","673,744","795,287"
,Microscopy positive,736,175,74,93,45,35,40,57,52,54,30,26,37
,RDT examined,,,"8,905","13,266","9,067","14,900","18,347","15,043","20,827","20,745","10,005","6,642","13,540"
,RDT positive,,,19,2,4,1,1,,0,2,0,0,0
,Imported cases,52,51,70,95,49,36,41,57,48,53,30,25,37
"Thailand2,6",Suspected cases,"1,777,977","1,450,885","1,272,324","1,927,585","1,833,061","1,537,430","1,619,174","1,268,976","976,482","937,053","800,012","651,385","674,142"
,Presumed and confirmed,"32,480","24,897","46,895","41,602","41,218","27,385","17,800","11,440","6,750","5,421","3,940","3,279","10,154"
